Estado	Municipio	Parroquia	Centro	Número de Electores escrutados.	Número de Actas Procesadas.	Número total de Votos Nulos.	Número Total de Votantes que votaron realmente.	HUGO CHAVEZ	Número total de Votos Válidos.	ORLANDO CHIRINO	REINA SEQUERA	LUIS REYES	MARIA BOLIVAR	HENRIQUE CAPRILES RADONSKI	Número de Votos Escrutados.
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA INTEGRAL BOLIVARIANA MANUELITO	577	1	3	469	375	466	0	1	0	0	90	469
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA BASICA ELIO FRANCISCO TOVAR PRADO	481	1	2	385	250	383	0	2	0	0	131	385
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA INTEGRAL BOLIVARIANA CARRETERA 18	205	1	2	177	163	175	0	0	1	0	11	177
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA INTEGRAL BOLIVARIANA CARRETERA LA 22	548	1	7	422	315	415	0	3	0	0	97	422
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA INTEGRAL BOLIVARIANA AROA	576	1	15	450	358	435	1	1	0	0	75	450
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA INTEGRAL BOLIVARIANA YUMARITO	498	1	7	402	348	395	0	1	0	0	46	402
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	CENTRO DE EDUCACION INICIAL SAN AMAYA NER 112	137	1	7	127	74	120	0	1	0	0	45	127
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA INTEGRAL BOLIVARIANA CARRETERA LA 8	924	2	21	782	594	761	0	6	0	0	161	782
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA BASICA MONSEÑOR BALDOMERO CILLERO	757	2	24	611	333	587	1	1	0	0	252	611
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA BASICA LOS LIRIOS	150	1	2	140	130	138	0	0	0	0	8	140
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA INTEGRAL BOLIVARIANA CARRETERA LA 38	414	1	0	325	274	325	0	1	0	0	50	325
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA INTEGRAL BOLIVARIANA CARRETERA 14	506	1	7	416	235	409	0	1	0	0	173	416
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA INTEGRAL BOLIVARIANA CARRTERA LA 32	290	1	7	217	168	210	0	0	1	0	41	217
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA INTEGRAL BOLIVARIANA PLACA DE CEDRO	119	1	3	91	82	88	0	0	1	0	5	91
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA INTEGRAL BOLIVARIANA KILOMETRO 39	600	1	6	489	367	483	0	0	0	1	115	489
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA INTEGRAL BOLIVARIANA KILOMETRO 63	141	1	1	120	107	119	0	0	0	0	12	120
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA BASICA TOMAS GIMENEZ.	2848	5	63	2315	1517	2252	3	10	1	2	719	2315
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA INTEGRAL BOLIVARIANA SIMON BOLIVAR	1259	3	29	1054	732	1025	2	4	0	0	287	1054
EDO. YARACUY	MP. MANUEL MONGE	CM. YUMARE	ESCUELA INTEGRAL BOLIVARIANA CARRETERA LA 13	463	1	6	403	286	397	0	1	1	0	109	403
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	ESCUELA INTEGRAL BOLIVARIANA LAS FLORES	874	2	10	630	314	620	0	1	0	0	305	630
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	ESCUELA INTEGRAL BOLIVARIANA LA HERMITA	500	1	9	411	197	402	0	3	0	1	201	411
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	ESCUELA BASICA BOLIVARIANA SAN GERONIMO	2132	4	64	1809	910	1745	1	9	0	1	824	1809
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	COMPLEJO DEPORTIVO PABLO EMILIO FERNANDEZ	509	1	11	402	208	391	0	3	1	0	179	402
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	LICEO BOLIVARIANO  JOSE GABRIEL ALVAREZ DE LUGO	942	2	25	775	460	750	0	3	0	0	287	775
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	ESCUELA BASICA GUAYUREBO NUCLEO ESCOLAR RURAL	946	2	17	762	387	745	1	3	1	0	353	762
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	CASA COMUNAL BARRIO LA LIBERTAD	202	1	3	182	101	179	0	3	0	0	75	182
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	INSTITUTO NACIONAL DE ATENCION Y SERVICIO SOCIAL (INASS)	473	1	13	408	255	395	1	2	0	0	137	408
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	CENTRO EDUCACION INICIAL BOLIVARIANO TOVAR Y TOVAR	1385	3	33	1113	421	1080	0	4	1	1	653	1113
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	LICEO BOLIVARIANO SANTA MARIA	1093	2	60	873	595	813	0	5	1	2	210	873
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	CENTRO DE EDUCACION INICIAL BOLIVARIANO  LA MORITA	641	2	8	523	314	515	1	5	1	0	194	523
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	CENTRO DE EDUCACION INICIAL BOLIVARIANO ELIGIO MARTINEZ	1132	2	29	973	417	944	0	2	0	0	525	973
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	CENTRO DE EDUCACION INICIAL BOLIVARIANO CARMEN EULALIA RIVERO DE VERASTEGUI	624	2	20	576	270	556	0	2	0	0	284	576
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	ESCUELA BASICA DOCTOR LEON TRUJILLO. III ETAPA	364	1	10	315	152	305	1	0	0	0	152	315
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	ESCUELA BASICA LEONOR BERNABO	2409	5	57	1992	915	1935	1	14	2	1	1002	1992
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	ESCUELA BASICA TOVAR Y TOVAR	2852	5	75	2270	824	2195	0	10	0	2	1359	2270
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	LICEO BOLIVARIANO DOCTOR RAFAEL CALDERA IZGUIRRE	2741	5	56	2215	1225	2159	1	10	1	1	921	2215
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	ESCUELA BASICA DOCTOR LEON TRUJILLO	3625	7	91	2980	1126	2889	0	16	2	3	1742	2980
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	ESCUELA BASICA PARQUE LEONOR BERNABO	1064	2	16	868	340	852	0	2	1	0	509	868
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	FUNDACION ESCUELA DANZAS COCOROTE	589	1	10	529	200	519	0	1	0	2	316	529
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	ESCUELA INTEGRAL BOLIVARIANA TACARTE	304	1	15	274	153	259	0	1	0	0	105	274
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	UNIDAD EDUCATIVA JAIME	471	1	14	403	248	389	0	1	0	0	140	403
EDO. YARACUY	MP. COCOROTE	CM. COCOROTE	ALDEA UNIVERSITARIA MISION SUCRE COCOROTE	1013	2	14	927	423	913	0	6	0	0	484	927
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	ESCUELA BOLIVARIANA LOS TIGRESITOS	592	1	34	374	240	340	0	0	0	0	100	374
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	ESCUELA BÁSICA ELIAS DAVID CURIEL	2154	4	53	1722	790	1669	1	6	1	0	871	1722
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	ESCUELA BOLIVARIANA ANDRES ELOY BLANCO	626	2	12	571	405	559	0	5	0	0	149	571
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	ESCUELA BOLIVARIANA LA GURUPA	293	1	4	232	180	228	0	2	0	0	46	232
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	ESCUELA BASICA BOLIVARIANA LOS CORTIJOS	1743	3	35	1483	709	1448	1	6	2	1	729	1483
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	ESCUELA BOLIVARIANA KILOMETRO 52	96	1	4	84	64	80	0	0	0	0	16	84
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	UNIDAD EDUCATIVA VIRGINIA GIL DE HERMOSO	1313	3	24	1045	479	1021	0	9	2	0	531	1045
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	ESCUELA BOLIVARIANA EL LAMEDERO
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	ESCUELA ESTADAL BOLIVARIANA LA CEIBA	215	1	3	181	136	178	0	0	0	0	42	181
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	ESCUELA BOLIVARIANA KILOMETRO 16	308	1	6	278	203	272	0	2	0	0	67	278
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	ESCUELA BOLIVARIANA UVERITO	146	1	2	123	80	121	0	1	0	0	40	123
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	ESCUELA ESTADAL UNITARIA CERRO ABAJO	71	1	0	67	46	67	1	1	0	0	19	67
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	ESCUELA BOLIVARIANA RIO CHIQUITO	139	1	5	116	95	111	0	1	0	0	15	116
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	CENTRO DE EDUCACION INICIAL  BOLIVARIANO ELIAS DAVID CURIEL	1759	3	31	1417	759	1386	1	8	2	0	616	1417
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	ESCUELA BOLIVARIANA LA FORTALEZA	381	1	5	300	246	295	0	4	0	0	45	300
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	ESCUELA PRIMARIA KM 6	714	2	12	574	353	562	0	6	2	0	201	574
EDO. FALCON	MP. MAUROA	PQ. MENE DE MAUROA	ESCUELA ESTADAL LA PUERTA NER 290	144	1	5	133	55	128	0	0	0	0	73	133
EDO. FALCON	MP. MAUROA	PQ. SAN FELIX	ESCUELA BOLIVARIANA CIVIRA	185	1	2	166	104	164	1	1	0	0	58	166
EDO. FALCON	MP. MAUROA	PQ. SAN FELIX	ESCUELA ESTADAL CORRALITO	574	1	2	420	267	418	0	4	0	0	147	420
EDO. FALCON	MP. MAUROA	PQ. SAN FELIX	ESCUELA BASICA ESTADAL EL LLANITO	106	1	2	98	72	96	0	1	0	0	23	98
EDO. FALCON	MP. MAUROA	PQ. SAN FELIX	UNIDAD EDUCATIVA VALMORES RODRÍGUEZ	520	1	3	386	197	383	0	6	0	0	180	386
EDO. FALCON	MP. MAUROA	PQ. CASIGUA	ESCUELA BASICA JOSÉ DE JESÚS JIMÉNEZ	524	1	13	408	271	395	0	1	0	0	123	408
EDO. FALCON	MP. MAUROA	PQ. CASIGUA	ESCUELA ESTADAL BOLIVARIANA PACHECO	111	1	2	105	99	103	0	0	0	0	4	105
EDO. FALCON	MP. MAUROA	PQ. CASIGUA	ESCUELA BOLIVARIANA CUARENTA PESOS	200	1	5	152	123	147	0	0	0	0	24	152
EDO. FALCON	MP. MAUROA	PQ. CASIGUA	ESCUELA BOLIVARIANA LAS CRUCESITAS	528	1	14	452	356	438	1	2	0	0	79	452
EDO. FALCON	MP. MAUROA	PQ. CASIGUA	ESCUELA ESTADAL BARRANCAS	285	1	7	224	180	217	1	3	0	0	33	224
EDO. FALCON	MP. MAUROA	PQ. CASIGUA	ESCUELA BOLIVARIANA CASIGUA	965	2	11	738	410	727	1	1	0	0	315	738
EDO. FALCON	MP. MAUROA	PQ. CASIGUA	ESCUELA ESTADAL BOLIVARIANA CELSA DE AÑEZ	655	2	17	514	298	497	0	0	0	0	199	514
EDO. FALCON	MP. MAUROA	PQ. CASIGUA	ESCUELA BOLIVARIANA AUDIO J. VEGA	397	1	8	319	270	311	0	1	0	0	40	319
EDO. FALCON	MP. MAUROA	PQ. CASIGUA	ESCUELA BOLIVARIANA LOS HATICOS	79	1	4	71	58	67	0	1	0	0	8	71
EDO. FALCON	MP. MAUROA	PQ. CASIGUA	ESCUELA BOLIVARIANA LAS CRUCES	124	1	0	112	62	112	0	1	0	0	49	112
EDO. FALCON	MP. MAUROA	PQ. CASIGUA	ESCUELA BOLIVARIANA EL CASETAL	331	1	14	297	203	283	0	0	0	0	80	297
EDO. FALCON	MP. MAUROA	PQ. CASIGUA	ESCUELA BOLIVARIANA LAS COCUIZAS	228	1	3	190	133	187	0	1	0	0	53	190
EDO. FALCON	MP. SUCRE	PQ. PECAYA	ESCUELA BOLIVARIANA TOROY NER 266	280	1	0	190	180	190	0	0	0	0	10	190
EDO. FALCON	MP. SUCRE	PQ. PECAYA	ESCUELA BOLIVARIANA QUEBRADA HONDA	76	1	0	68	68	68	0	0	0	0	0	68
EDO. FALCON	MP. SUCRE	PQ. PECAYA	ESCUELA BASICA NICOLAS CURIEL COUTINHO	765	2	5	540	377	535	0	0	0	0	158	540
EDO. FALCON	MP. SUCRE	PQ. PECAYA	ESCUELA BOLIVARIANA LAS VERAS NER 266	294	1	1	243	223	242	0	1	1	0	17	243
EDO. FALCON	MP. SUCRE	PQ. PECAYA	ESCUELA BASICA UNITARIA GUASIQUI NER 266	278	1	2	189	160	187	0	1	0	0	26	189
EDO. FALCON	MP. SUCRE	PQ. SUCRE	ESCUELA BOLIVARIANA MACUARE
EDO. FALCON	MP. SUCRE	PQ. SUCRE	ESCUELA BOLIVARIANA EL RIO	154	1	1	125	100	124	0	1	0	0	23	125
EDO. FALCON	MP. SUCRE	PQ. SUCRE	UNIDAD EDUCATIVA ANGEL MIGUEL QUEREMEL	1172	2	10	894	641	884	0	3	0	0	240	894
EDO. FALCON	MP. SUCRE	PQ. SUCRE	ESCUELA BASICA UNITARIA NER Nº 965.JUNCALITO	176	1	1	119	105	118	0	1	0	0	12	119
EDO. FALCON	MP. SUCRE	PQ. SUCRE	ESCUELA ESTADAL UNITARIA LA GOYA NER 263	72	1	1	60	45	59	0	0	0	0	14	60
EDO. FALCON	MP. SUCRE	PQ. SUCRE	ESCUELA BÁSICA BOLIVARIANA  EL HORCÓN	277	1	3	241	113	238	0	1	0	0	124	241
EDO. FALCON	MP. SUCRE	PQ. SUCRE	ESCUELA NACIONAL PALO PINTAO	378	1	4	317	274	313	0	0	0	0	39	317
EDO. FALCON	MP. SUCRE	PQ. SUCRE	ESCUELA BASICA BOLIVARIANA FELIX VALOIS LEAL	1644	3	17	1297	908	1280	1	10	2	0	359	1297
EDO. FALCON	MP. FALCON	PQ. PUEBLO NUEVO	ESCUELA BÁSICA ISOLINA DE GÓMEZ CASTRO	1262	3	12	981	726	969	0	8	0	0	235	981
EDO. FALCON	MP. FALCON	PQ. PUEBLO NUEVO	ESCUELA BOLIVARIANA GUACUIRA ARRIBA	290	1	5	269	214	264	0	1	0	0	49	269
EDO. FALCON	MP. FALCON	PQ. PUEBLO NUEVO	ESCUELA BASICA LOS POZOS	292	1	3	243	137	240	0	4	0	0	99	243
EDO. FALCON	MP. FALCON	PQ. PUEBLO NUEVO	ESCUELA BÁSICA BOLIVARIANA JUAN DE DIOS MONZÓN	1981	4	27	1628	915	1601	0	12	0	1	673	1628
EDO. FALCON	MP. FALCON	PQ. PUEBLO NUEVO	ESCUELA BASICA ESTADAL CAYERUA	397	1	4	316	223	312	0	2	0	0	87	316
EDO. FALCON	MP. FALCON	PQ. PUEBLO NUEVO	UNIDAD EDUCATIVA HECTOR M. PEÑA	1581	3	23	1266	672	1243	0	10	0	0	561	1266
EDO. FALCON	MP. FALCON	PQ. PUEBLO NUEVO	ESCUELA BÁSICA AZARO BUENA VARA	887	2	15	677	467	662	0	3	0	0	192	677
EDO. FALCON	MP. FALCON	PQ. PUEBLO NUEVO	ESCUELA BASICA BOLIVARIANA LA CIENAGA	266	1	2	246	144	244	0	1	0	0	99	246
EDO. FALCON	MP. FALCON	PQ. PUEBLO NUEVO	ESCUELA BÁSICA CERRO PELÓN	594	1	8	478	364	470	1	2	0	0	103	478
EDO. FALCON	MP. FALCON	PQ. PUEBLO NUEVO	ESCUELA BOLIVARIANA EL PIZARRAL	192	1	2	178	145	176	0	1	0	0	30	178
EDO. FALCON	MP. FALCON	PQ. PUEBLO NUEVO	ESCUELA BÁSICA BOLIVARIANA COTO PAUL	3234	6	49	2640	1400	2591	0	11	2	0	1178	2640
EDO. FALCON	MP. FALCON	PQ. PUEBLO NUEVO	ESCUELA NACIONAL SANTA CRUZ	580	1	14	421	251	407	0	3	1	0	152	421
EDO. FALCON	MP. FALCON	PQ. PUEBLO NUEVO	ESCUELA BASICA ESTADAL GUACUIRA ABAJO	481	1	10	387	273	377	1	3	1	0	99	387
EDO. FALCON	MP. FALCON	PQ. ADAURE	ESCUELA BASICA ADAURE	1447	3	21	1135	673	1114	0	9	0	0	432	1135
EDO. FALCON	MP. FALCON	PQ. ADAURE	ESCUELA BASICA ADAURE NORTE	190	1	4	172	138	168	1	0	0	0	29	172
EDO. FALCON	MP. FALCON	PQ. EL VINCULO	ESCUELA BASICA BOLIVARIANA CONSUELO NAVAS	1654	3	44	1273	681	1229	1	6	0	0	541	1273
EDO. FALCON	MP. FALCON	PQ. EL VINCULO	ESCUELA BASICA LAS CARMELITAS	302	1	7	247	229	240	0	0	0	0	11	247
EDO. FALCON	MP. FALCON	PQ. EL VINCULO	ESCUELA ESTADAL LAS CUMARAGUAS	506	1	4	410	286	406	0	1	3	0	116	410
EDO. FALCON	MP. FALCON	PQ. EL VINCULO	ESCUELA BOLIVARIANA PUERTO ESCONDIDO	96	1	0	85	34	85	0	0	1	0	50	85
EDO. FALCON	MP. FALCON	PQ. EL HATO	ESCUELA BOLIVARIANA LA IDEA	221	1	1	210	164	209	0	0	0	0	45	210
EDO. FALCON	MP. FALCON	PQ. EL HATO	ESCUELA BASICA BOLIVARIANA BATALLA DE JUNIN	1414	3	10	1096	784	1086	0	3	1	0	298	1096
EDO. FALCON	MP. FALCON	PQ. MORUY	ESCUELA BASICA YABUQUIVA	1083	2	25	900	493	875	0	6	2	0	374	900
EDO. FALCON	MP. FALCON	PQ. MORUY	ESCUELA BASICA BOLIVARIANA BARUNU	554	1	4	413	312	409	1	2	0	0	94	413
EDO. FALCON	MP. FALCON	PQ. MORUY	CENTRO DE EDUCACION INCIAL SIMONCITO LA BOMBA	201	1	2	189	172	187	0	0	0	0	15	189
EDO. FALCON	MP. FALCON	PQ. MORUY	ESCUELA BASICA EL MAMONAL NER 150	180	1	4	178	82	174	0	0	0	1	91	178
EDO. FALCON	MP. FALCON	PQ. MORUY	ESCUELA BASICA BOLIVARIANA GUACUREBO	316	1	8	298	240	290	0	4	1	0	45	298
EDO. FALCON	MP. FALCON	PQ. MORUY	ESCUELA BASICA BOLIVARIANA MORUY	2435	5	52	2052	1322	2000	0	11	0	0	667	2052
EDO. FALCON	MP. FALCON	PQ. MORUY	ESCUELA BOLIVARIANA MIRABA	341	1	6	270	221	264	0	0	0	0	43	270
EDO. FALCON	MP. FALCON	PQ. MORUY	ESCUELA BOLIVARIANA GISEBO	207	1	6	178	133	172	0	0	0	0	39	178
EDO. FALCON	MP. FALCON	PQ. BARAIVED	ESCUELA BASICA CAMUNARE	283	1	1	219	148	218	0	0	1	0	69	219
EDO. FALCON	MP. FALCON	PQ. BARAIVED	ESCUELA BASICA MIRACA	723	2	15	624	414	609	0	5	0	1	189	624
EDO. FALCON	MP. FALCON	PQ. BARAIVED	ESCUELA BÁSICA BOLIVARIANA MANUEL C. MOLINA	935	2	20	765	495	745	0	5	1	0	244	765
EDO. FALCON	MP. FALCON	PQ. BARAIVED	UNIDAD EDUCATIVA BARAIVED	897	2	5	764	449	759	0	7	0	0	303	764
EDO. FALCON	MP. FALCON	PQ. ADICORA	ESCUELA BASICA ESTADAL UNITARIA TIRAYA	133	1	2	119	89	117	0	2	0	0	26	119
EDO. FALCON	MP. FALCON	PQ. ADICORA	ESCUELA BOLIVARIANA CHARAIMA	825	2	16	663	461	647	0	7	0	0	179	663
EDO. FALCON	MP. FALCON	PQ. ADICORA	ESCUELA BASICA CRUZ DEL VALLE RODRIGUEZ	892	2	14	735	528	721	0	3	0	0	190	735
EDO. FALCON	MP. FALCON	PQ. ADICORA	ESCUELA ESTADAL EL SUPI	513	1	16	404	222	388	0	3	0	0	163	404
EDO. FALCON	MP. FALCON	PQ. ADICORA	ESCUELA BOLIVARIANA SAN PEDRO	295	1	8	218	161	210	1	1	0	0	47	218
EDO. FALCON	MP. FALCON	PQ. ADICORA	CASA COMUNAL BUCHUACO	150	1	2	139	103	137	0	1	1	0	32	139
EDO. FALCON	MP. FALCON	PQ. ADICORA	ESCUELA BASICA BOLIVARIANA ADICORA	1548	3	20	1234	650	1214	0	3	0	1	560	1234
EDO. FALCON	MP. FALCON	PQ. JADACAQUIVA	ESCUELA BASICA GUAYACANAL	135	1	2	121	75	119	0	0	0	0	44	121
EDO. FALCON	MP. FALCON	PQ. JADACAQUIVA	ESCUELA BOLIVARIANA LA TRINIDAD	138	1	1	131	105	130	0	0	0	0	25	131
EDO. FALCON	MP. FALCON	PQ. JADACAQUIVA	ESCUELA ESTADAL SAN VICENTE	677	2	12	540	342	528	0	1	0	0	185	540
EDO. FALCON	MP. FALCON	PQ. JADACAQUIVA	ESCUELA ESTADAL LAS MARGARITAS	383	1	5	318	185	313	0	2	0	0	126	318
EDO. FALCON	MP. FALCON	PQ. JADACAQUIVA	ESCUELA BOLIVARIANA GUAIDABACOA	267	1	6	205	131	199	1	1	1	1	64	205
EDO. FALCON	MP. FALCON	PQ. JADACAQUIVA	ESCUELA BASICA BOLIVARIANA JADACAQUIVA	1340	3	14	1056	607	1042	2	6	0	0	427	1056
EDO. FALCON	MP. FALCON	PQ. JADACAQUIVA	ESCUELA BOLIVARIANA AMARAYA	139	1	2	121	17	119	0	3	0	0	99	121
EDO. FALCON	MP. FALCON	PQ. JADACAQUIVA	ESCUELA BOLIVARIANA SAN PEDRO	131	1	1	128	89	127	0	0	0	0	38	128
EDO. FALCON	MP. FALCON	PQ. BUENA VISTA	ESCUELA BOLIVARIANA LA PITAHAYA	238	1	1	229	174	228	0	0	0	0	54	229
EDO. FALCON	MP. FALCON	PQ. BUENA VISTA	ESCUELA BASICA MAICARA	472	1	5	369	272	364	0	1	0	0	91	369
EDO. FALCON	MP. FALCON	PQ. BUENA VISTA	ESCUELA ESTADAL MATIVIDIRO	436	1	2	384	282	382	0	3	0	0	97	384
EDO. FALCON	MP. FALCON	PQ. BUENA VISTA	ESCUELA BÁSICA BOLIVARIANA MANUELA WEFFER DE ROMERO	1987	4	36	1643	891	1607	0	6	0	2	708	1643
EDO. FALCON	MP. MONS. ITURRIZA	PQ. BOCA DE TOCUYO	ESCUELA BOLIVARIANA  MANUEL MOLINA HERNANDEZ	1421	3	18	1139	611	1121	0	5	0	0	505	1139
EDO. FALCON	MP. MONS. ITURRIZA	PQ. CHICHIRIVICHE	ESCUELA PRIMERA BOLIVARIANA FLAMENCO	1291	3	38	929	553	891	0	3	0	0	335	929
EDO. FALCON	MP. MONS. ITURRIZA	PQ. CHICHIRIVICHE	CENTRO EDUCACION INICIAL CELESTE	323	1	7	252	107	245	0	2	0	0	136	252
EDO. FALCON	MP. MONS. ITURRIZA	PQ. CHICHIRIVICHE	ESCUELA PRIMARIA  VIRGEN DEL VALLE	1407	3	31	1055	425	1024	0	6	0	0	593	1055
EDO. FALCON	MP. MONS. ITURRIZA	PQ. CHICHIRIVICHE	LICEO BOLIVARIANO RAMON YANEZ	1694	3	23	1281	517	1258	1	5	0	0	735	1281
EDO. FALCON	MP. MONS. ITURRIZA	PQ. CHICHIRIVICHE	CENTRO DE EDUCACIÓN INICIAL POLITA DE LIMA	1745	3	30	1305	539	1275	2	8	1	0	725	1305
EDO. FALCON	MP. MONS. ITURRIZA	PQ. TOCUYO DE LA COSTA	ESCUELA BOLIVARIANA TIBANA NER 123.	220	1	9	191	150	182	0	0	0	0	32	191
EDO. FALCON	MP. MONS. ITURRIZA	PQ. TOCUYO DE LA COSTA	ESCUELA BÁSICA AVECINDA PIÑA	1150	2	16	908	562	892	0	4	0	0	326	908
EDO. FALCON	MP. MONS. ITURRIZA	PQ. TOCUYO DE LA COSTA	ESCUELA PRIMARIA BOLIVARIANA SANTA ROSA	159	1	5	129	112	124	0	0	1	0	11	129
EDO. FALCON	MP. MONS. ITURRIZA	PQ. TOCUYO DE LA COSTA	UNIVERSIDAD EXPERIMENTAL FRANCISCO DE MIRANDA	555	1	12	434	299	422	0	1	0	0	122	434
EDO. FALCON	MP. MONS. ITURRIZA	PQ. TOCUYO DE LA COSTA	ESCUELA BOLIVARIANA JOSE MARIA GIL	1423	3	16	1095	626	1079	0	6	0	0	447	1095
EDO. FALCON	MP. MONS. ITURRIZA	PQ. TOCUYO DE LA COSTA	ESCUELA PRIMARIA  BOLIVARIANA SANARE ABAJO	563	1	18	412	280	394	0	1	0	0	113	412
EDO. FALCON	MP. MONS. ITURRIZA	PQ. TOCUYO DE LA COSTA	LICEO BOLIVARIANO  JACINTO REGINO PACHANO	1573	3	21	1260	771	1239	0	2	0	0	466	1260
EDO. FALCON	MP. MONS. ITURRIZA	PQ. TOCUYO DE LA COSTA	ESCUELA PRIMARIA BOLIVARIANA EL BLANQUILLO	159	1	1	119	110	118	0	0	0	0	8	119
EDO. FALCON	MP. MONS. ITURRIZA	PQ. TOCUYO DE LA COSTA	ESCUELA PRIMARIA BOLIVARIANA SAN JOSE DE SANARE	162	1	1	148	138	147	0	0	0	0	9	148
EDO. FALCON	MP. MONS. ITURRIZA	PQ. TOCUYO DE LA COSTA	ESCUELA BASICA EL ALTO DE LA ALEGRIA	490	1	15	309	221	294	0	1	0	0	72	309
EDO. FALCON	MP. TOCOPERO	CM. TOCOPERO	ESCUELA BOLIVARIANA ESTADAL CIENEGA LEJOS	896	2	18	749	570	731	1	3	0	0	157	749
EDO. FALCON	MP. TOCOPERO	CM. TOCOPERO	ESCUELA ESTADAL JOSE ISIDRO VIVAS	325	1	4	253	181	249	0	1	0	0	67	253
EDO. FALCON	MP. TOCOPERO	CM. TOCOPERO	CENTRO DE EDUCACION INICIAL CARMEN DE GOMEZ	405	1	12	340	236	328	0	0	0	0	92	340
EDO. FALCON	MP. TOCOPERO	CM. TOCOPERO	ESCUELA BOLIVARIANA NACIONAL PUENTE RICOA	480	1	12	357	285	345	0	1	0	0	59	357
EDO. FALCON	MP. TOCOPERO	CM. TOCOPERO	ALDEA BOLIVARIANA UNIVERSITARIA TOCOPERO	1643	3	35	1262	727	1227	0	5	0	0	495	1262
EDO. FALCON	MP. TOCOPERO	CM. TOCOPERO	ESCUELA BOLIVARIANA ESTADAL SANTA ROSA	1162	2	21	962	765	941	0	3	0	0	173	962
EDO. FALCON	MP. TOCOPERO	CM. TOCOPERO	ESCUELA BOLIVARIANA ESTADAL EL CABALLO	431	1	11	316	279	305	0	0	0	0	26	316
EDO. FALCON	MP. TOCOPERO	CM. TOCOPERO	ESCUELA BOLIVARIANA EL PERÚ NER 192	237	1	7	198	176	191	0	1	0	0	14	198
EDO. FALCON	MP. TOCOPERO	CM. TOCOPERO	ESCUELA BASICA BOLIVARIANA SANTO TOMAS	316	1	8	286	214	278	0	2	0	0	62	286
